方案rank,F,Index,x_i
1,10.663615134132542,A0,0
1,10.663615134132542,A1,0
1,10.663615134132542,A2,0
1,10.663615134132542,A4,0
1,10.663615134132542,A5,0
1,10.663615134132542,A6,0
1,10.663615134132542,A7,7
1,10.663615134132542,A8,0
1,10.663615134132542,A3,0
1,10.663615134132542,A10,0
1,10.663615134132542,A9,0
2,10.714431558124915,A0,0
2,10.714431558124915,A1,0
2,10.714431558124915,A2,0
2,10.714431558124915,A4,0
2,10.714431558124915,A5,0
2,10.714431558124915,A6,0
2,10.714431558124915,A7,6
2,10.714431558124915,A8,0
2,10.714431558124915,A3,0
2,10.714431558124915,A10,0
2,10.714431558124915,A9,1
3,10.736626639287186,A0,0
3,10.736626639287186,A1,1
3,10.736626639287186,A2,0
3,10.736626639287186,A4,0
3,10.736626639287186,A5,0
3,10.736626639287186,A6,0
3,10.736626639287186,A7,6
3,10.736626639287186,A8,0
3,10.736626639287186,A3,0
3,10.736626639287186,A10,0
3,10.736626639287186,A9,0
4,10.757223166773294,A0,0
4,10.757223166773294,A1,0
4,10.757223166773294,A2,0
4,10.757223166773294,A4,0
4,10.757223166773294,A5,1
4,10.757223166773294,A6,0
4,10.757223166773294,A7,6
4,10.757223166773294,A8,0
4,10.757223166773294,A3,0
4,10.757223166773294,A10,0
4,10.757223166773294,A9,0
5,10.770102780380057,A0,0
5,10.770102780380057,A1,0
5,10.770102780380057,A2,0
5,10.770102780380057,A4,0
5,10.770102780380057,A5,0
5,10.770102780380057,A6,0
5,10.770102780380057,A7,5
5,10.770102780380057,A8,0
5,10.770102780380057,A3,0
5,10.770102780380057,A10,0
5,10.770102780380057,A9,2
