排名,单位,分管领导,Q1得分,Q2得分,Q3得分,Q4得分,年度综合得分,是否前五名,是否前三名
1,A6派出所,c62,0.0,0.3377,0,0,0.337691,★,★★
2,A8派出所,c81,0.0,0.3377,0,0,0.337664,★,★★
3,A8派出所,c82,0.0,0.3329,0,0,0.332888,★,★★
4,A9派出所,c91,0.0,0.3185,0,0,0.318528,★,
5,A7派出所,c71,0.0,0.3174,0,0,0.317437,★,
6,A5派出所,c52,0.0,0.2634,0,0,0.263401,,
7,A2派出所,c21,0.1165,0.3939,0,0,0.255195,,
8,A1派出所,c12,0.12,0.3785,0,0,0.249232,,
9,A4派出所,c41,0.1157,0.3361,0,0,0.225909,,
10,A6派出所,c61,0.1114,0.321,0,0,0.216213,,
11,A5派出所,c51,0.1154,0.2908,0,0,0.203114,,
12,A2派出所,c22,0.1152,0.2774,0,0,0.196328,,
13,A7派出所,c72,0.1174,0.2698,0,0,0.193571,,
14,A8派出所,B4,0.1842,0.0,0,0,0.184229,,
15,A3派出所,c31,0.0691,0.2842,0,0,0.176657,,
16,A6派出所,c52,0.1361,0.0,0,0,0.136072,,
17,A0派出所,c01,0.1238,0.0,0,0,0.123773,,
18,A1派出所,B1,0.1184,0.0,0,0,0.118393,,
19,A7派出所,B3,0.1071,0.0,0,0,0.107128,,
20,A10派出所,c91,0.0569,0.0,0,0,0.05685,,
21,A9派出所,B2,0.0451,0.0,0,0,0.045103,,
