排名,单位,分管领导,综合得分,是否前五名,是否前三名
1,A6派出所,c62,0.337691,是,是
2,A8派出所,c81,0.337664,是,是
3,A8派出所,c82,0.332888,是,是
4,A9派出所,c91,0.318528,是,否
5,A7派出所,c71,0.317437,是,否
6,A5派出所,c52,0.263401,否,否
7,A2派出所,c21,0.255195,否,否
8,A1派出所,c12,0.249232,否,否
9,A4派出所,c41,0.225909,否,否
10,A6派出所,c61,0.216213,否,否
11,A5派出所,c51,0.203114,否,否
12,A2派出所,c22,0.196328,否,否
13,A7派出所,c72,0.193571,否,否
14,A8派出所,B4,0.184229,否,否
15,A3派出所,c31,0.176657,否,否
16,A6派出所,c52,0.136072,否,否
17,A0派出所,c01,0.123773,否,否
18,A1派出所,B1,0.118393,否,否
19,A7派出所,B3,0.107128,否,否
20,A10派出所,c91,0.05685,否,否
21,A9派出所,B2,0.045103,否,否
