指标,权重
指标_5,0.065001
指标_4,0.064754
指标_30,0.061293
指标_25,0.061293
指标_18,0.047342
指标_3,0.046022
指标_2,0.039411
指标_20,0.035274
指标_19,0.034569
指标_33,0.034376
指标_17,0.033399
指标_21,0.033367
指标_24,0.03281
指标_38,0.03246
指标_0,0.031272
指标_1,0.030693
指标_36,0.03006
指标_34,0.029954
指标_27,0.029806
指标_40,0.029806
指标_35,0.029806
指标_26,0.029612
指标_41,0.02923
指标_32,0.029015
指标_13,0.020837
指标_6,0.012525
指标_12,0.009202
指标_11,0.008736
指标_15,0.00673
指标_9,0.005689
指标_14,0.004598
指标_8,0.004164
指标_10,0.004046
指标_7,0.002851
指标_16,0.0
指标_22,0.0
指标_23,0.0
指标_28,0.0
指标_29,0.0
指标_31,0.0
指标_37,0.0
指标_39,0.0
