,,警卫、安保执勤、维稳由治安大队、维稳办依据考核方案最高单位分别得10分，其他按比例得分,烟花爆竹禁放工作考核10分,涉娼涉赌百名民警刑拘绝对数最大的得8.5分，其它按比例得分,涉娼涉赌百名民警逮捕绝对数最大的得8.5分，其它按比例得分,涉娼涉赌百名民警公诉绝对数最大的得3分，其它按比例得分,食药环百名民警刑拘绝对数最大的得15分，其它按比例得分,同一小区或重点部位一周内连续发生3起同类别侵财警情一次扣1分,流动人口管理登记率最高得5分，其它按比例得分；出租房屋登记率最高得5分，其它按比例得分，漏管失控扣2-11分,流动人口管理登记率最高得5分，其它按比例得分；出租房屋登记率最高得5分，其它按比例得分，漏管失控扣2-11分,流动人口管理登记率最高得5分，其它按比例得分；出租房屋登记率最高得5分，其它按比例得分，漏管失控扣2-11分,境外人员管控10分,社区治安满意率最高得30分,社区民警见警率最高得40分,大干五十天禁毒会战成绩折28分计入,禁毒冲刺会战成绩折20分计入,防控体系建设建设得分10分,关注对象管控维稳采集率最高的分别得5分,关注对象管控维稳合格率最高的分别得5分
本项最高得分,,10,10,8.5,8.5,3,15,0,5,5,10,10,30,40,28,20,10,5,5
单位,分管所领导,得分,得分,得分,得分,得分,得分,得分,流动人口登记率得分,出租房登记率得分,漏管失控得分,得分,得分,得分,得分,得分,得分,得分,得分
A0派出所,c01,10,8.7,6.2,2.1,0,0,-1,4.4,5,10,8.16,25,22.3,24.7,19.1,6.5,5,5
A1派出所,B1,不分管,不分管,0.6,0,0.7,3.5,0,不分管,不分管,不分管,不分管,不分管,不分管,28,18.2,不分管,不分管,不分管
A1派出所,c12,7.4,8.5,不分管,不分管,不分管,不分管,不分管,4.4,5,10,6.53,24,28.4,不分管,不分管,10,5,5
A2派出所,c21,9.8,8.1,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,7,不分管,不分管
A2派出所,c22,不分管,不分管,2.5,1.2,0.7,3.3,0,2,2.5,8,4.29,20.8,26.7,26.5,20,不分管,5,5
A3派出所,c31,6.1,7.9,1,0,0,0,0,不分管,不分管,不分管,不分管,不分管,不分管,20.4,19.1,6.5,5,5
A4派出所,c41,4.9,10,2.2,1.5,0,0,0,5,5,10,7.96,20,29.2,22,15.3,10,5,5
A9派出所,B2,1.3,8.4,0,0,0,0,0,不分管,不分管,不分管,不分管,不分管,不分管,13.7,不分管,7,不分管,不分管
A5派出所,c51,2.6,8.4,2.8,5.7,0,0,0,4.1,4.5,10,6.94,22.1,40,22.1,17.2,10,5,5
A10派出所,c91,5.4,8.5,0,0,0,0,0,不分管,不分管,不分管,不分管,不分管,不分管,12.8,6.4,7,不分管,不分管
A6派出所,c61,不分管,不分管,不分管,不分管,不分管,不分管,不分管,4.3,5,10,10,24.1,25.5,不分管,13.1,不分管,不分管,不分管
A6派出所,c52,2.8,8.6,8.5,8.5,0,0,0,不分管,不分管,不分管,不分管,不分管,不分管,12.9,不分管,6,5,5
A7派出所,B3,6.5,9.2,2.3,3,0,0,0,不分管,不分管,不分管,不分管,不分管,不分管,17.7,13.7,7,5,5
A7派出所,c72,不分管,不分管,不分管,不分管,不分管,不分管,不分管,5,5,10,7.55,30,27.3,不分管,不分管,不分管,不分管,不分管
A8派出所,B4,2.2,8.9,0,0,3,15,-1,5,5,10,8.16,22.5,26.8,17.4,17.1,10,5,5
