Index,治安管理时间,治安案件查出数,事件平均花费时间,治安打处时间,打处数,事件平均花费时间,巡逻防范、接处警时间,调解纠纷时间,总和,110警情数,事件平均花费时间,逮捕起诉时间,逮捕数+直诉数,事件平均花费时间,刑事案件受理、立案时间,信息采集时间,图侦上传时间,总和,刑事案件立案数总和,事件平均花费时间,统计人数,实际人数,占比
A0,2579.2,619,4.166720517,17608,71,248,13888,5753.6,19641.6,12064,1.628116711,5704,71,80.33802817,4712,1240,992,6944,678,10.24188791,25,50,0.5
A1,14283.61905,1177,12.13561517,0,0,0,18464.19048,25083.4286,43547.61905,13171,3.306325947,8361,135,61.93439153,9232.095238,5225.7143,696.762,15154.6,1044,14.51587302,42,59,0.71186
A2,8143.7,1207,6.747058824,6843.766667,165,41.47737374,29678.625,18734.3333,48412.95833,31637,1.530247917,7914.3,165,47.96545455,9940.666667,7034.9333,6270.27,23245.9,2567,9.055655111,48,74,0.64865
A4,2808,682,4.117302053,11232,82,136.9756098,12312,7992,20304,11880,1.709043436,2160,82,26.34146341,2592,3240,2808,8640,941,9.181721573,31,54,0.57407
A5,9099.238095,601,15.1225496,6962.895238,88,79.12380952,14242.28571,11077.3333,25319.61905,9336,2.712041458,11077.3333,88,125.8787878,6567.27619,4984.8,2452.84,14004.9,736,19.02841615,21,67,0.31343
A6,7329.777778,876,8.364461689,7908.444444,73,108.3348554,12807.82222,6712.53333,19520.35556,13494,1.446523373,6558.22222,73,89.83866058,9065.777778,2430.4,887.289,12383.5,1255,9.86730412,36,56,0.64286
A7,15372,416,36.95192308,14616,88,166.0909091,11844,7660.8,19504.8,14707,1.326165191,10080,88,114.5454545,4284,5947.2,3528,13759.2,856,16.07383178,31,63,0.49206
A8,5456,1173,4.651321398,4464,76,58.73684211,11656,6001.6,17658,17960,0.98316679,12400,76,163.1578947,11656,4067.2,1835.2,17558.4,1174,14.9560477,28,56,0.5
A3,4030,1038,3.882466281,9920,50,198.4,11935,3720,15655,4685,3.341277984,2480,50,49.6,1860,310,310,2480,822,3.01703163,20,25,0.8
A10,5022,77,64.65816918,2864.4,12,238.7,4352.4,3720,8072.4,2365,3.412314582,5022,12,418.5,2604,1971.6,1190.4,5766,238,24.22689076,18,27,0.66667
A9,6045,76,79.53947368,2015,3,671.6666667,9672,6448,16120,886,18.19413093,0,0,0,2418,0,0,2418,184,13.14130435,8,13,0.61539
